code_module,code_presentation,id_student,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result,date_registration,date_unregistration,module_presentation_length,total_assessments_submitted,average_score,total_weighted_score,total_clicks,unique_days_active
AAA,2013J,59185,M,East Anglian Region,Lower Than A Level,60-70%,35-55,0,60,N,Pass,-59.0,,268,5.0,78.6,80.8,1102.0,61.0
AAA,2013J,62155,F,North Western Region,HE Qualification,50-60%,0-35,0,60,N,Pass,-68.0,,268,5.0,76.0,76.4,3388.0,148.0
AAA,2013J,63400,M,Scotland,Lower Than A Level,40-50%,35-55,0,60,N,Pass,-67.0,,268,5.0,71.6,71.2,2737.0,175.0
AAA,2013J,65002,F,East Anglian Region,A Level or Equivalent,70-80%,0-35,0,60,N,Withdrawn,-180.0,96.0,268,2.0,67.0,20.2,171.0,11.0
AAA,2013J,70464,F,West Midlands Region,A Level or Equivalent,60-70%,35-55,0,60,N,Pass,-95.0,,268,5.0,55.6,53.5,1053.0,46.0
AAA,2013J,71361,M,Ireland,HE Qualification,,35-55,0,60,N,Pass,-130.0,,268,5.0,80.4,79.69999999999999,2327.0,135.0
AAA,2013J,74372,M,East Anglian Region,A Level or Equivalent,10-20,35-55,0,150,N,Fail,-50.0,,268,4.0,48.5,32.8,116.0,14.0
AAA,2013J,75091,M,South West Region,A Level or Equivalent,30-40%,35-55,0,60,N,Pass,-107.0,,268,5.0,66.0,65.8,2992.0,122.0
AAA,2013J,77367,M,East Midlands Region,A Level or Equivalent,30-40%,0-35,0,60,N,Pass,-27.0,,268,5.0,70.4,69.5,680.0,86.0
AAA,2013J,91265,M,North Western Region,HE Qualification,0-10%,0-35,0,60,N,Pass,-31.0,,268,5.0,70.8,69.0,1494.0,125.0
AAA,2013J,94961,M,South Region,Lower Than A Level,70-80%,35-55,0,60,N,Withdrawn,-170.0,72.0,268,1.0,74.0,7.4,339.0,24.0
AAA,2013J,98094,M,Wales,Lower Than A Level,70-80%,35-55,0,60,N,Pass,-107.0,,268,5.0,60.6,60.6,2839.0,91.0
AAA,2013J,100893,M,Yorkshire Region,A Level or Equivalent,20-30%,0-35,0,60,N,Pass,-62.0,,268,5.0,68.4,68.7,744.0,52.0
AAA,2013J,101781,M,South Region,Lower Than A Level,80-90%,35-55,0,60,N,Pass,-103.0,,268,5.0,72.6,71.6,4104.0,144.0
AAA,2013J,102806,M,North Western Region,A Level or Equivalent,30-40%,0-35,0,60,N,Pass,-107.0,,268,5.0,78.0,76.0,1944.0,177.0
AAA,2013J,102952,M,London Region,HE Qualification,60-70%,0-35,0,60,N,Pass,-100.0,,268,5.0,76.6,77.1,1150.0,58.0
AAA,2013J,104476,M,Ireland,Post Graduate Qualification,,35-55,0,60,N,Pass,-109.0,,268,5.0,79.6,78.9,4777.0,161.0
AAA,2013J,106247,M,South Region,HE Qualification,80-90%,35-55,0,60,N,Withdrawn,5.0,175.0,268,3.0,60.0,29.299999999999997,465.0,33.0
AAA,2013J,106577,M,East Midlands Region,Lower Than A Level,20-30%,0-35,0,60,N,Pass,-107.0,,268,5.0,53.4,54.199999999999996,733.0,47.0
AAA,2013J,110175,M,East Anglian Region,HE Qualification,80-90%,35-55,0,60,N,Pass,-110.0,,268,5.0,63.4,63.699999999999996,998.0,70.0
AAA,2013J,111717,F,East Anglian Region,HE Qualification,90-100%,35-55,0,60,N,Pass,-43.0,,268,3.0,81.0,48.9,2343.0,136.0
AAA,2013J,113295,M,Yorkshire Region,Lower Than A Level,60-70%,35-55,0,60,N,Pass,-26.0,,268,5.0,77.6,77.3,3553.0,195.0
AAA,2013J,114017,F,North Region,Post Graduate Qualification,,35-55,0,60,N,Pass,-29.0,,268,5.0,71.8,72.3,757.0,50.0
AAA,2013J,114999,M,Yorkshire Region,HE Qualification,60-70%,35-55,0,60,N,Pass,-68.0,,268,5.0,72.8,70.8,1358.0,120.0
AAA,2013J,116541,M,Wales,HE Qualification,0-10%,0-35,0,60,N,Pass,-68.0,,268,5.0,62.4,59.8,1886.0,108.0
AAA,2013J,116692,M,East Anglian Region,A Level or Equivalent,70-80%,35-55,0,60,N,Pass,-32.0,,268,5.0,74.2,74.2,1108.0,98.0
AAA,2013J,118983,M,East Midlands Region,HE Qualification,30-40%,0-35,0,120,N,Pass,-99.0,,268,5.0,61.8,59.0,284.0,27.0
AAA,2013J,123044,M,South Region,A Level or Equivalent,40-50%,35-55,0,60,N,Pass,-82.0,,268,5.0,71.4,70.7,2041.0,127.0
AAA,2013J,127582,F,East Midlands Region,A Level or Equivalent,40-50%,0-35,0,180,N,Pass,-31.0,,268,5.0,69.6,69.4,1321.0,89.0
AAA,2013J,129955,M,West Midlands Region,A Level or Equivalent,50-60%,0-35,0,60,N,Withdrawn,-197.0,135.0,268,3.0,81.0,40.099999999999994,1011.0,83.0
AAA,2013J,132976,F,East Anglian Region,Lower Than A Level,80-90%,35-55,0,120,N,Pass,-75.0,,268,5.0,67.4,67.30000000000001,520.0,32.0
AAA,2013J,134143,F,South East Region,A Level or Equivalent,90-100%,35-55,0,60,N,Distinction,-96.0,,268,5.0,84.4,83.8,2732.0,138.0
AAA,2013J,135335,F,East Anglian Region,Lower Than A Level,20-30%,0-35,0,180,N,Withdrawn,-29.0,30.0,268,0.0,0.0,0.0,57.0,10.0
AAA,2013J,135400,F,South East Region,Lower Than A Level,90-100%,35-55,0,60,Y,Withdrawn,-32.0,144.0,268,2.0,61.5,17.4,287.0,24.0
AAA,2013J,137873,M,South West Region,A Level or Equivalent,40-50%,35-55,0,60,N,Pass,-195.0,,268,5.0,80.2,81.7,5528.0,192.0
AAA,2013J,141355,F,East Midlands Region,A Level or Equivalent,30-40%,0-35,0,240,N,Pass,-61.0,,268,5.0,72.6,72.0,1823.0,92.0
AAA,2013J,141377,M,South West Region,A Level or Equivalent,90-100%,0-35,0,345,N,Withdrawn,-110.0,129.0,268,1.0,45.0,4.5,143.0,9.0
AAA,2013J,142326,F,North Region,A Level or Equivalent,50-60%,35-55,0,60,N,Pass,-37.0,,268,5.0,73.6,75.3,2121.0,95.0
AAA,2013J,144801,F,South Region,HE Qualification,80-90%,35-55,0,60,N,Pass,-67.0,,268,5.0,68.8,70.6,5645.0,200.0
AAA,2013J,145130,M,South West Region,HE Qualification,60-70%,0-35,0,120,N,Pass,-36.0,,268,5.0,54.4,53.2,452.0,35.0
AAA,2013J,146188,F,West Midlands Region,A Level or Equivalent,20-30%,0-35,0,60,Y,Fail,-132.0,,268,5.0,50.0,48.8,597.0,32.0
AAA,2013J,147756,M,North Region,Lower Than A Level,60-70%,0-35,0,120,N,Fail,-92.0,,268,4.0,73.75,51.3,611.0,74.0
AAA,2013J,147793,F,North Region,Lower Than A Level,80-90%,0-35,0,90,N,Withdrawn,-138.0,58.0,268,1.0,52.0,5.2,155.0,9.0
AAA,2013J,148993,F,North Western Region,A Level or Equivalent,30-40%,35-55,0,60,Y,Withdrawn,-174.0,158.0,268,3.0,72.0,36.4,1864.0,106.0
AAA,2013J,151358,F,London Region,A Level or Equivalent,80-90%,0-35,0,150,N,Pass,-44.0,,268,5.0,50.0,49.6,270.0,20.0
AAA,2013J,155550,M,London Region,A Level or Equivalent,0-10%,35-55,0,420,N,Pass,-16.0,,268,5.0,67.0,66.0,1529.0,81.0
AAA,2013J,155854,F,East Midlands Region,A Level or Equivalent,20-30%,35-55,0,60,N,Pass,-54.0,,268,5.0,79.8,79.4,4003.0,202.0
AAA,2013J,155984,F,East Anglian Region,Lower Than A Level,70-80%,0-35,0,60,N,Withdrawn,-64.0,191.0,268,2.0,80.0,23.5,908.0,44.0
AAA,2013J,157568,F,South West Region,A Level or Equivalent,90-100%,0-35,0,60,N,Pass,-52.0,,268,5.0,70.6,68.6,1405.0,87.0
AAA,2013J,159954,M,East Midlands Region,A Level or Equivalent,40-50%,35-55,0,60,N,Withdrawn,-46.0,123.0,268,2.0,66.5,20.1,1185.0,66.0
AAA,2013J,164259,M,Scotland,A Level or Equivalent,70-80%,0-35,0,60,N,Pass,-64.0,,268,5.0,71.8,70.4,466.0,51.0
AAA,2013J,167906,F,Yorkshire Region,A Level or Equivalent,40-50%,35-55,0,60,N,Pass,-117.0,,268,5.0,69.4,70.9,1510.0,99.0
AAA,2013J,168936,F,West Midlands Region,Lower Than A Level,10-20,35-55,0,60,N,Pass,-32.0,,268,5.0,66.4,64.9,745.0,42.0
AAA,2013J,172112,M,Ireland,HE Qualification,,35-55,0,60,N,Pass,-50.0,,268,5.0,69.6,71.1,1939.0,135.0
AAA,2013J,172797,F,Ireland,A Level or Equivalent,,35-55,0,60,N,Pass,-45.0,,268,5.0,61.4,61.4,1782.0,86.0
AAA,2013J,174782,M,East Anglian Region,HE Qualification,90-100%,55<=,0,60,N,Pass,-162.0,,268,5.0,80.4,80.1,6318.0,249.0
AAA,2013J,175392,M,North Region,HE Qualification,,35-55,0,60,N,Pass,-195.0,,268,5.0,82.4,81.7,4447.0,197.0
AAA,2013J,175932,M,North Western Region,HE Qualification,70-80%,35-55,0,60,N,Pass,-92.0,,268,5.0,78.2,78.8,2016.0,97.0
AAA,2013J,175991,F,North Western Region,A Level or Equivalent,80-90%,0-35,0,180,N,Fail,-57.0,,268,5.0,37.6,36.0,138.0,17.0
AAA,2013J,180753,M,South West Region,A Level or Equivalent,30-40%,0-35,0,120,N,Pass,-64.0,,268,5.0,53.4,51.7,2012.0,157.0
AAA,2013J,181316,F,South West Region,A Level or Equivalent,80-90%,35-55,0,120,N,Withdrawn,-39.0,60.0,268,1.0,76.0,7.6,487.0,20.0
AAA,2013J,183096,F,South West Region,A Level or Equivalent,60-70%,0-35,0,60,N,Pass,-128.0,,268,5.0,54.0,54.0,1975.0,116.0
AAA,2013J,183947,M,London Region,A Level or Equivalent,10-20,0-35,0,180,N,Pass,-32.0,,268,5.0,49.0,46.6,964.0,58.0
AAA,2013J,184271,M,South West Region,HE Qualification,80-90%,35-55,0,170,N,Pass,-74.0,,268,5.0,59.8,58.7,1312.0,147.0
AAA,2013J,185439,M,London Region,HE Qualification,10-20,0-35,0,120,N,Fail,-12.0,,268,1.0,74.0,7.4,427.0,15.0
AAA,2013J,186149,M,Scotland,HE Qualification,30-40%,35-55,0,60,N,Pass,-109.0,,268,5.0,76.0,75.6,2136.0,109.0
AAA,2013J,187100,M,South East Region,A Level or Equivalent,50-60%,35-55,0,60,N,Distinction,-136.0,,268,5.0,89.2,89.4,8562.0,231.0
AAA,2013J,188278,M,Yorkshire Region,A Level or Equivalent,70-80%,35-55,0,120,N,Withdrawn,-57.0,60.0,268,1.0,76.0,7.6,1434.0,49.0
AAA,2013J,189879,M,Scotland,A Level or Equivalent,90-100%,0-35,0,120,N,Pass,-180.0,,268,5.0,79.4,78.80000000000001,1541.0,84.0
AAA,2013J,192183,F,South West Region,Lower Than A Level,90-100%,0-35,0,60,N,Pass,-62.0,,268,5.0,68.4,66.69999999999999,3219.0,176.0
AAA,2013J,195262,M,London Region,A Level or Equivalent,90-100%,0-35,0,60,N,Withdrawn,-45.0,185.0,268,1.0,50.0,10.0,1905.0,58.0
AAA,2013J,200860,M,London Region,Lower Than A Level,50-60%,35-55,0,60,N,Pass,-54.0,,268,5.0,54.4,50.8,534.0,81.0
AAA,2013J,202635,F,Wales,A Level or Equivalent,30-40%,0-35,0,60,N,Withdrawn,-73.0,166.0,268,3.0,66.66666666666667,33.2,1418.0,47.0
AAA,2013J,205350,M,South West Region,HE Qualification,80-90%,35-55,0,60,N,Pass,-68.0,,268,5.0,72.2,72.2,1665.0,126.0
AAA,2013J,205719,M,East Anglian Region,A Level or Equivalent,40-50%,0-35,0,90,Y,Fail,-51.0,,268,3.0,56.666666666666664,27.299999999999997,333.0,32.0
AAA,2013J,227499,F,London Region,A Level or Equivalent,10-20,35-55,0,60,N,Distinction,-169.0,,268,5.0,83.6,83.5,2953.0,162.0
AAA,2013J,227517,M,Ireland,HE Qualification,,0-35,0,180,N,Fail,-172.0,,268,5.0,62.6,61.7,1205.0,69.0
AAA,2013J,228082,M,London Region,HE Qualification,60-70%,0-35,0,60,N,Pass,-31.0,,268,5.0,72.4,74.80000000000001,227.0,37.0
AAA,2013J,228222,M,East Midlands Region,Lower Than A Level,50-60%,0-35,0,60,N,Pass,-108.0,,268,5.0,61.8,60.7,445.0,38.0
AAA,2013J,229179,M,West Midlands Region,A Level or Equivalent,20-30%,0-35,0,60,N,Pass,-165.0,,268,5.0,66.0,65.1,614.0,50.0
AAA,2013J,229361,M,East Midlands Region,A Level or Equivalent,50-60%,0-35,0,60,N,Pass,-58.0,,268,5.0,78.0,77.5,1215.0,123.0
AAA,2013J,231554,M,London Region,A Level or Equivalent,40-50%,0-35,0,240,N,Pass,-29.0,,268,4.0,67.75,52.8,1839.0,86.0
AAA,2013J,235507,M,Yorkshire Region,A Level or Equivalent,90-100%,0-35,0,240,N,Withdrawn,-79.0,109.0,268,1.0,65.0,6.5,190.0,21.0
AAA,2013J,236284,M,Scotland,Post Graduate Qualification,90-100%,0-35,0,60,N,Pass,2.0,,268,5.0,78.0,75.5,732.0,41.0
AAA,2013J,238007,M,South Region,HE Qualification,90-100%,55<=,0,60,N,Pass,-151.0,,268,5.0,79.2,79.5,1935.0,162.0
AAA,2013J,240712,M,London Region,HE Qualification,80-90%,0-35,0,80,N,Pass,-45.0,,268,5.0,75.8,74.2,321.0,26.0
AAA,2013J,240884,M,South Region,A Level or Equivalent,90-100%,0-35,0,120,N,Pass,-47.0,,268,5.0,58.4,56.4,427.0,44.0
AAA,2013J,241649,M,East Anglian Region,HE Qualification,90-100%,35-55,0,60,N,Pass,-50.0,,268,5.0,78.8,78.8,1892.0,135.0
AAA,2013J,241729,F,East Midlands Region,HE Qualification,60-70%,35-55,0,60,N,Fail,-31.0,,268,5.0,58.6,59.6,1829.0,117.0
AAA,2013J,242793,M,London Region,HE Qualification,20-30%,35-55,0,60,N,Pass,-36.0,,268,5.0,77.4,79.2,658.0,56.0
AAA,2013J,246834,M,South West Region,A Level or Equivalent,90-100%,35-55,0,60,N,Pass,-16.0,,268,5.0,55.6,54.8,1174.0,68.0
AAA,2013J,248270,M,North Western Region,Lower Than A Level,20-30%,0-35,0,90,N,Pass,-198.0,,268,5.0,78.4,78.9,1969.0,193.0
AAA,2013J,255548,M,Wales,Lower Than A Level,20-30%,35-55,0,60,N,Pass,-103.0,,268,5.0,71.4,68.4,2580.0,166.0
AAA,2013J,256815,M,North Western Region,HE Qualification,10-20,0-35,0,120,N,Pass,-117.0,,268,5.0,76.8,77.7,1481.0,139.0
AAA,2013J,258392,F,West Midlands Region,Lower Than A Level,30-40%,0-35,0,60,N,Pass,-68.0,,268,5.0,58.8,59.1,844.0,53.0
AAA,2013J,258894,F,East Anglian Region,Lower Than A Level,70-80%,35-55,0,60,N,Pass,-172.0,,268,5.0,64.8,64.4,4963.0,204.0
AAA,2013J,260355,F,London Region,A Level or Equivalent,80-90%,35-55,0,60,N,Withdrawn,-186.0,170.0,268,3.0,57.5,17.5,426.0,43.0
AAA,2013J,262011,M,East Midlands Region,A Level or Equivalent,20-30%,35-55,0,60,N,Pass,-145.0,,268,5.0,71.0,72.1,1066.0,69.0
AAA,2013J,262934,F,North Western Region,A Level or Equivalent,30-40%,35-55,0,60,N,Pass,-191.0,,268,5.0,76.6,76.0,2407.0,119.0
AAA,2013J,268073,M,East Anglian Region,A Level or Equivalent,10-20,35-55,0,90,N,Fail,-33.0,,268,5.0,74.6,75.5,3210.0,116.0
AAA,2013J,268733,M,East Anglian Region,A Level or Equivalent,30-40%,0-35,0,180,N,Withdrawn,-17.0,187.0,268,2.0,43.0,12.1,188.0,18.0
AAA,2013J,271251,M,Scotland,A Level or Equivalent,80-90%,35-55,0,60,N,Pass,-68.0,,268,5.0,76.4,76.9,3348.0,128.0
AAA,2013J,277880,F,South East Region,A Level or Equivalent,60-70%,0-35,0,60,N,Withdrawn,-108.0,177.0,268,3.0,67.66666666666667,33.6,2016.0,78.0
AAA,2013J,279572,M,London Region,Lower Than A Level,40-50%,0-35,0,60,N,Distinction,-138.0,,268,5.0,79.2,79.6,1183.0,63.0
AAA,2013J,281022,F,Scotland,A Level or Equivalent,30-40%,0-35,0,150,N,Pass,-74.0,,268,5.0,73.4,73.8,492.0,49.0
AAA,2013J,281250,M,Wales,Lower Than A Level,70-80%,35-55,0,60,N,Fail,-64.0,,268,5.0,55.4,54.3,130.0,15.0
AAA,2013J,281589,M,North Western Region,HE Qualification,30-40%,0-35,0,60,N,Fail,-50.0,,268,0.0,0.0,0.0,59.0,8.0
AAA,2013J,282821,M,South West Region,A Level or Equivalent,30-40%,35-55,0,60,N,Pass,-107.0,,268,5.0,60.6,58.8,1961.0,87.0
AAA,2013J,286488,M,South East Region,A Level or Equivalent,90-100%,35-55,0,60,N,Pass,-8.0,,268,5.0,71.0,73.5,1046.0,68.0
AAA,2013J,287548,M,East Anglian Region,A Level or Equivalent,90-100%,0-35,0,120,N,Pass,-52.0,,268,5.0,67.8,67.9,483.0,47.0
AAA,2013J,290201,M,Wales,A Level or Equivalent,20-30%,0-35,0,60,N,Pass,-96.0,,268,5.0,70.4,69.80000000000001,1740.0,108.0
AAA,2013J,290757,M,North Western Region,A Level or Equivalent,30-40%,0-35,0,60,N,Pass,-141.0,,268,5.0,75.0,74.5,652.0,33.0
AAA,2013J,291334,M,South East Region,A Level or Equivalent,90-100%,35-55,0,60,N,Distinction,-132.0,,268,5.0,83.6,82.9,5231.0,229.0
AAA,2013J,292923,F,South East Region,A Level or Equivalent,90-100%,35-55,0,180,N,Withdrawn,-162.0,-121.0,268,0.0,0.0,0.0,0.0,0.0
AAA,2013J,293699,M,East Midlands Region,A Level or Equivalent,70-80%,0-35,0,120,N,Pass,-27.0,,268,4.0,46.75,41.5,187.0,28.0
AAA,2013J,294570,M,South East Region,HE Qualification,90-100%,55<=,0,60,N,Pass,-80.0,,268,5.0,78.2,78.69999999999999,1775.0,119.0
AAA,2013J,294594,M,South East Region,A Level or Equivalent,90-100%,0-35,0,60,N,Pass,-145.0,,268,5.0,52.8,51.0,865.0,94.0
AAA,2013J,295741,M,South East Region,A Level or Equivalent,40-50%,35-55,0,240,N,Fail,-17.0,,268,5.0,50.2,51.900000000000006,709.0,87.0
AAA,2013J,296332,M,South Region,Post Graduate Qualification,90-100%,55<=,0,60,N,Distinction,-115.0,,268,5.0,86.8,84.30000000000001,2152.0,124.0
AAA,2013J,298696,F,South East Region,HE Qualification,80-90%,0-35,0,60,N,Pass,-32.0,,268,5.0,80.8,81.8,514.0,58.0
AAA,2013J,300398,M,West Midlands Region,A Level or Equivalent,30-40%,35-55,0,60,N,Pass,-59.0,,268,5.0,78.8,78.3,1997.0,108.0
AAA,2013J,302302,F,East Anglian Region,A Level or Equivalent,40-50%,0-35,0,60,N,Fail,-83.0,,268,3.0,58.666666666666664,29.400000000000002,513.0,24.0
AAA,2013J,305152,M,North Western Region,A Level or Equivalent,70-80%,0-35,0,60,N,Fail,-18.0,,268,1.0,64.0,6.4,146.0,11.0
AAA,2013J,305386,M,West Midlands Region,A Level or Equivalent,70-80%,0-35,0,120,Y,Pass,-66.0,,268,5.0,78.0,78.1,1277.0,85.0
AAA,2013J,305539,F,Wales,Lower Than A Level,80-90%,0-35,0,120,N,Withdrawn,-54.0,-3.0,268,0.0,0.0,0.0,68.0,6.0
AAA,2013J,306107,M,West Midlands Region,A Level or Equivalent,50-60%,35-55,0,120,N,Pass,-107.0,,268,5.0,58.2,54.9,987.0,81.0
AAA,2013J,306466,M,East Anglian Region,A Level or Equivalent,90-100%,35-55,0,60,N,Pass,-58.0,,268,5.0,82.0,82.6,1220.0,110.0
AAA,2013J,306897,F,London Region,A Level or Equivalent,10-20,0-35,0,60,N,Pass,-123.0,,268,5.0,62.6,60.9,2742.0,189.0
AAA,2013J,307061,F,East Midlands Region,HE Qualification,10-20,0-35,0,60,N,Pass,-31.0,,268,5.0,81.2,81.3,1081.0,87.0
AAA,2013J,307866,M,West Midlands Region,A Level or Equivalent,70-80%,0-35,0,60,N,Pass,-107.0,,268,4.0,60.0,43.3,1476.0,76.0
AAA,2013J,311917,M,South West Region,A Level or Equivalent,60-70%,55<=,0,120,N,Pass,-121.0,,268,5.0,59.2,60.4,2230.0,145.0
AAA,2013J,312537,M,South Region,Post Graduate Qualification,90-100%,55<=,0,60,N,Distinction,-79.0,,268,5.0,87.8,87.8,12882.0,271.0
AAA,2013J,312782,M,South Region,A Level or Equivalent,90-100%,0-35,0,60,N,Pass,-59.0,,268,5.0,61.8,58.5,281.0,46.0
AAA,2013J,318933,F,East Anglian Region,HE Qualification,80-90%,0-35,0,120,N,Pass,-100.0,,268,5.0,66.6,66.6,1281.0,106.0
AAA,2013J,319047,F,East Midlands Region,A Level or Equivalent,50-60%,0-35,0,60,N,Pass,-47.0,,268,5.0,78.4,78.6,6589.0,232.0
AAA,2013J,321942,M,South Region,HE Qualification,90-100%,55<=,0,60,N,Pass,-67.0,,268,5.0,80.4,80.2,10083.0,239.0
AAA,2013J,324002,M,East Anglian Region,HE Qualification,40-50%,35-55,0,60,N,Pass,-32.0,,268,5.0,80.4,80.2,1901.0,122.0
AAA,2013J,324084,F,South West Region,A Level or Equivalent,10-20,35-55,0,60,N,Pass,-165.0,,268,5.0,57.6,57.5,1961.0,110.0
AAA,2013J,324282,M,South East Region,A Level or Equivalent,90-100%,0-35,0,120,N,Pass,-32.0,,268,5.0,61.2,64.6,133.0,38.0
AAA,2013J,331358,F,South Region,HE Qualification,90-100%,35-55,0,60,N,Withdrawn,-67.0,53.0,268,1.0,84.0,8.4,2376.0,45.0
AAA,2013J,332789,F,East Anglian Region,A Level or Equivalent,60-70%,35-55,0,60,N,Pass,-64.0,,268,5.0,74.4,75.1,1655.0,72.0
AAA,2013J,333059,M,Scotland,A Level or Equivalent,20-30%,0-35,0,120,N,Pass,-103.0,,268,5.0,65.8,62.6,301.0,31.0
AAA,2013J,333323,M,Scotland,HE Qualification,80-90%,0-35,0,60,N,Pass,-53.0,,268,5.0,74.4,74.19999999999999,648.0,36.0
AAA,2013J,334259,F,London Region,A Level or Equivalent,50-60%,0-35,0,150,N,Fail,-32.0,,268,2.0,53.0,15.5,332.0,27.0
AAA,2013J,334333,F,South West Region,A Level or Equivalent,0-10%,0-35,0,240,Y,Withdrawn,-192.0,65.0,268,1.0,36.0,3.6,303.0,33.0
AAA,2013J,335764,F,South East Region,A Level or Equivalent,20-30%,0-35,0,60,N,Withdrawn,-196.0,160.0,268,3.0,86.33333333333333,43.2,2286.0,106.0
AAA,2013J,336207,M,East Anglian Region,A Level or Equivalent,90-100%,0-35,0,120,N,Pass,-110.0,,268,5.0,68.2,67.4,1316.0,111.0
AAA,2013J,339972,M,North Region,A Level or Equivalent,80-90%,0-35,0,60,N,Pass,-57.0,,268,5.0,49.8,47.800000000000004,333.0,33.0
AAA,2013J,341872,M,East Anglian Region,Lower Than A Level,40-50%,0-35,0,180,N,Fail,48.0,,268,5.0,64.2,63.8,201.0,35.0
AAA,2013J,342007,F,West Midlands Region,HE Qualification,70-80%,0-35,0,60,N,Withdrawn,-71.0,51.0,268,1.0,75.0,7.5,880.0,38.0
AAA,2013J,342514,M,Scotland,Lower Than A Level,50-60%,55<=,0,60,N,Pass,-81.0,,268,5.0,77.2,78.4,1950.0,98.0
AAA,2013J,342972,M,Yorkshire Region,HE Qualification,0-10%,0-35,0,60,N,Pass,-60.0,,268,5.0,60.4,61.5,838.0,72.0
AAA,2013J,343446,M,Ireland,HE Qualification,70-80%,35-55,0,120,N,Pass,-49.0,,268,5.0,78.4,79.6,3644.0,173.0
AAA,2013J,344282,M,Yorkshire Region,A Level or Equivalent,10-20,0-35,0,60,N,Fail,-12.0,,268,5.0,49.2,47.4,65.0,18.0
AAA,2013J,345068,M,East Anglian Region,A Level or Equivalent,60-70%,0-35,0,180,Y,Pass,-37.0,,268,5.0,78.0,79.5,547.0,51.0
AAA,2013J,345357,M,Yorkshire Region,A Level or Equivalent,30-40%,0-35,0,60,N,Distinction,-18.0,,268,5.0,80.4,82.0,2219.0,134.0
AAA,2013J,346025,M,East Anglian Region,A Level or Equivalent,50-60%,0-35,0,120,N,Pass,-75.0,,268,5.0,82.4,82.4,569.0,103.0
AAA,2013J,346843,F,Scotland,HE Qualification,50-60%,35-55,0,120,N,Fail,-44.0,,268,0.0,0.0,0.0,164.0,8.0
AAA,2013J,350188,M,North Western Region,HE Qualification,80-90%,35-55,0,60,N,Pass,-49.0,,268,5.0,73.8,73.4,761.0,78.0
AAA,2013J,354858,M,South Region,HE Qualification,90-100%,35-55,0,120,N,Withdrawn,-32.0,5.0,268,0.0,0.0,0.0,198.0,7.0
AAA,2013J,357668,M,Yorkshire Region,A Level or Equivalent,10-20,0-35,0,60,N,Fail,-38.0,,268,3.0,57.0,29.3,166.0,27.0
AAA,2013J,364177,M,East Anglian Region,Lower Than A Level,70-80%,35-55,0,60,N,Fail,-129.0,,268,4.0,69.0,48.8,821.0,63.0
AAA,2013J,365244,F,London Region,A Level or Equivalent,0-10%,0-35,0,120,N,Pass,-38.0,,268,5.0,56.4,55.6,891.0,78.0
AAA,2013J,365642,M,East Anglian Region,Lower Than A Level,10-20,35-55,0,60,N,Pass,-52.0,,268,5.0,70.0,70.4,2129.0,148.0
AAA,2013J,366483,M,South West Region,HE Qualification,40-50%,0-35,0,60,N,Pass,-4.0,,268,5.0,76.8,77.0,1465.0,129.0
AAA,2013J,368194,F,South West Region,A Level or Equivalent,50-60%,0-35,0,120,Y,Pass,-123.0,,268,5.0,50.4,49.1,437.0,32.0
AAA,2013J,368824,M,Wales,HE Qualification,50-60%,35-55,0,120,N,Fail,-60.0,,268,5.0,55.6,53.7,292.0,25.0
